[00:00:00] 大家好,我是小骏
[00:00:08] 今天给大家带来的是全球大模型季报的第九集
[00:00:12] 这一集的情绪十分的复杂
[00:00:15] 一方面你会看到正在急速进化的AI革命
[00:00:19] Coding把AI从聊天机器人Charbot的第一幕
[00:00:23] 推向了能够干活的Agent第二幕
[00:00:26] 研究员们已经开始不再亲自写代码了
[00:00:29] 广秘带来的核心判断是
[00:00:31] Coding是新的AI加速器
[00:00:33] 正在加速AGI的实现
[00:00:36] 领先的Coding模型就会像领先的GPU
[00:00:39] 另一方面社会层面随之进入了
[00:00:42] 白领通缩与失业的窗口期
[00:00:44] 整个社会准备好了应对
[00:00:46] 这么急速变化的AI革命了吗
[00:00:49] 2026年期待我们和AI共同进步
[00:00:57] 你相不相信
[00:00:59] Coding可以表达数字世界的绝大多数任务
[00:01:02] 因为自然语言是对世界的描述
[00:01:04] Coding是对Solution的描述
[00:01:07] 就是语言及世界
[00:01:09] 代码及方案
[00:01:10] 如果领先的模型公司不重视Coding
[00:01:16] 它大概会掉出第一梯队的
[00:01:19] 对
[00:01:21] 我觉得硅谷预算家过去三年
[00:01:24] 有时候你觉得OpenAI无敌
[00:01:26] 三四个月前又觉得Gemini
[00:01:29] 王者归来
[00:01:30] 今天是unsorptic春风得意
[00:01:32] 我是感觉每个公司都有自己的窗口
[00:01:35] 各领风骚100天
[00:01:38] 今天胜利的秘籍可能就是下个时代的毒药
[00:01:41] OpenAI在ChatterGPT过于成功
[00:01:44] 让他们专注2C而忽视了Coding
[00:01:59] 那今天这里是全球大模型季报的第九集
[00:02:04] 过去三年我和广秘一直在用季报的形式
[00:02:07] 记录着大模型的技术进步和趋势走向
[00:02:11] 从2023年到2026年
[00:02:13] 一直追踪我们的听众会发现
[00:02:15] 很多季报里的内容都慢慢变成了现实
[00:02:18] 那最近感受最深的就是我们去年季报里
[00:02:22] 一直在说的Coding Coding Coding
[00:02:23] 今年就像海啸一般涌来了
[00:02:26] 感觉有点猝不及防
[00:02:27] 那站在2020年
[00:02:28] 2026年第一季度
[00:02:30] 广秘你有哪些突出的感受
[00:02:32] 能不能先带领我们感受一下
[00:02:34] 本集季报的概览内容
[00:02:36] 过去一个季度变化实在太快了
[00:02:39] 希望我们季报传递一些最新的洞察和思考
