[00:00:00] 大家好,我是小骏
[00:00:07] 今天是我们的系列节目戴宇森的创投观察第二集
[00:00:11] 在戴宇森的创投观察第一集
[00:00:14] 也就是我们节目的第124集中
[00:00:17] 真格基金管理合伙人戴宇森预言说
[00:00:20] 2026年的关键词是The Year of R
[00:00:23] 他彼时较为谨慎
[00:00:25] 觉得2026年将是一个现实与回调之年
[00:00:28] 并且在过年前就清空了所有二级市场的股票
[00:00:31] 那现在过去了小半年时间
[00:00:34] 很多人说他的一部分观点有点被打脸
[00:00:37] 宇森经过了短暂的内心挣扎
[00:00:40] 决定还是继续来录制我们的系列节目
[00:00:43] 他将持续地分享自己的投资思考
[00:00:47] 那接下来就是我对宇森的访谈
[00:00:50] 期待2026年我们和AI共同进步
[00:00:56] 那我确实受到了我的播客
[00:00:58] 的这个影响
[00:00:59] 就是我是不敢像我的朋友那样那么激进地去加仓
[00:01:02] 今年确实有非常多的朋友赚了非常多的钱
[00:01:04] 对我来说我肯定加回了一些仓位
[00:01:06] 但确实没有那么激进
[00:01:08] 等会儿你说的是你受到了播客的影响
[00:01:10] 还是你受到了之前观点的影响
[00:01:12] 这个话说出去产生影响力让你受到的影响
[00:01:15] 还是说你观点本身让你产生的影响
[00:01:17] 我觉得当你越强烈地表达一个观点的时候
[00:01:19] 你会被你说出去的话限制
[00:01:21] 而如果这句话是公开表达的
[00:01:23] 那肯定会有更多的限制
[00:01:25] 这也是我们之前我在想
[00:01:26] 要不要再录这第二期播客的预言
[00:01:28] 但后来技客的娃总西东说服了我
[00:01:31] 他说如果你认为你的观点被打脸了
[00:01:33] 你就不愿意再说了
[00:01:34] 那其实你是真正的被你的观点绑定了
[00:01:37] 但实际上你应该是一个
[00:01:38] 持续学习持续进化的个体
[00:01:40] 因为你看很多字节系的创始人出来
[00:01:44] 可能会引用一些像字节的打法
[00:01:47] 你觉得整体从人群划分来说
[00:01:49] 字节系的创始人是一个好的投资人群吗
[00:01:52] 我的一个简单的观察是
[00:01:54] 有的是要把字节学会的东西
[00:01:56] 可能要自己颠覆自己的一个过程
[00:01:58] 所以我认为
[00:01:58] 是一个好的投资人群
[00:02:00] 哈喽 宇森
[00:02:01] 还是给听众朋友们打个招呼
[00:02:02] 嗨 大家好
[00:02:03] 我是真格基金的管理合伙人戴宇森
[00:02:05] 确立我们上次聊过去的小半年
[00:02:07] 上次你在我们播客里提到
[00:02:09] Ear of R这些观点
[00:02:11] 当时的R包括回报 研究和记忆
[00:02:13] 你今天觉得这个判断
[00:02:15] 是不是有点被打脸
[00:02:16] 对 其实这几个月来
[00:02:18] 陆续有人把之前的播客发给我
[00:02:20] 说你看你说
[00:02:21] 今年AI的回报有问题
[00:02:23] 今年可能会有回调
[00:02:25] 是不是被打脸了
[00:02:26] 我觉得其实挺有意思的
[00:02:27] 因为
[00:02:28] 作为早期投资人
[00:02:29] 你必须在很多事情很早的时候
[00:02:32] 去进行思考
[00:02:33] 然后给出一些判断
[00:02:35] 但是在这过程中的话
[00:02:36] 我觉得打脸是一个常态
[00:02:38] 做早期投资
[00:02:39] 因为当你陆续被打脸的时候
[00:02:41] 很多时候其实说明
[00:02:42] 这个行业变化很快
[00:02:43] 那么如果你做早期投资
[00:02:45] 这个行业变化很快
[00:02:46] 那就意味着它有很多的机会
[00:02:48] 那么AI这个领域呢
[00:02:49] 被打脸的判断也非常的多
[00:02:51] 其实我们当时录的时候
[00:02:53] 应该是在11月12月左右
[00:02:55] 当时其实大家最关注的是OpenAI
[00:02:58] 因为当时讲OpenAI的DAO有8个亿
[00:03:00] 很快到10个亿了
